iter	loss	status	model
0	1.2125768471397829	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.5876142703690372, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=6.110103454506939,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.06051648800332243,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=7, max_leaves=None,
             min_child_weight=5, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1061, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
1	1.0759702248875962	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.8863791039582276, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=5.38815349099332,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09638268022182407,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=9, max_leaves=None,
             min_child_weight=7, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1218, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
2	1.3330022583848968	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.9581142875644536, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=6.976218330258633,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.06544556186499578,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=5, max_leaves=None,
             min_child_weight=5, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1208, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
3	1.4902299261515664	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.7996813010822966, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=6.004572747937351,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.08744921731543512,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=4, max_leaves=None,
             min_child_weight=6, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1272, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
4	1.1947068207602611	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.9813627891869345, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=6.155907480510882,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.052012702869833956,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=3, max_leaves=None,
             min_child_weight=5, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1036, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
5	1.0263925209360878	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.8575652099138285, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=1.0896869077057698,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07768348039262998,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=10, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1133, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
6	1.3940658355869984	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.9330548600010924, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=5.094130739833136,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.05279569476072045,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=9, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1160, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
7	0.9049726342853972	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.7226675327210919, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=1.156180123629524,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.08658874169721534,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=5, max_leaves=None,
             min_child_weight=9, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1107, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
8	1.628134757484091	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.942700046532275, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=6.6057878797744385,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09103935593782123,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=8, max_leaves=None,
             min_child_weight=5, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1263, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
9	1.095185110095369	ok	"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=0.5777486786968661, device=None,
             early_stopping_rounds=10, enable_categorical=False,
             eval_metric='rmse', feature_types=None, gamma=2.7134456572710097,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.08960595410179398,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=5, max_leaves=None,
             min_child_weight=6, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1081, n_jobs=6,
             num_parallel_tree=None, random_state=42, ...)"
